N,P,K,temperature,humidity,ph,rainfall,label,land_type
90,14,52,24.84740848,89.20454622,6.391858432,59.67927244,watermelon,Hilly
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,lentil,Hilly
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize,plain
85,35,32,26.24928198,54.28617819,6.854011265,133.1120232,coffee,Hilly
97,74,45,26.47522633,78.51833782,5.677719902,113.1161095,banana,Hilly
30,25,31,26.31270635,98.62048026,5.804965067,208.1181381,coconut,plain
20,7,45,18.90592319,89.24126808,6.077886012,112.4750941,pomegranate,Hilly
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram,plain
29,16,36,19.81069447,88.92944254,5.740338002,102.860084,pomegranate,plain
36,29,13,20.68185224,90.91510525,7.829507245,109.7513927,orange,plain
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,Hilly
20,142,196,10.89875873,80.01639435,6.207600783,68.69420397,grapes,Hilly
34,6,30,27.0828252,97.00155491,5.948342571,171.7575545,coconut,Hilly
69,57,35,24.30748599,78.54340987,6.186814392,186.2337571,jute,Hilly
116,56,17,24.71252544,77.7293114,7.979090365,85.24963302,cotton,plain
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,mungbean,plain
59,62,52,43.67549305,93.10887229,6.608667684,103.8235658,papaya,Hilly
95,39,29,27.35152643,55.99375012,7.13411409,148.9812525,coffee,Hilly
90,50,44,26.91643698,73.48655995,6.253408852,171.4716375,jute,Hilly
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,chickpea,plain
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea,Hilly
14,41,17,29.12939524,88.48312598,7.085982325,36.45012824,mungbean,Hilly
112,54,15,25.46228792,81.56641891,6.175492306,76.88582484,cotton,plain
26,64,22,25.95058595,40.58227261,5.16516459,109.1821183,pigeonpeas,plain
23,75,25,31.07508973,47.19847683,7.077170002,91.31256412,pigeonpeas,Hilly
14,140,197,23.35225078,90.90054697,6.071255131,113.0381382,apple,Hilly
106,46,20,23.43821725,78.63388824,6.200671976,81.15072105,cotton,Hilly
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,chickpea,Hilly
58,55,47,26.05375792,93.69111672,6.742490027,240.6863901,papaya,plain
7,74,17,22.47253208,62.56532471,5.667419697,96.74706956,pigeonpeas,plain
38,141,198,13.05809741,80.28297993,5.757009965,70.75633584,grapes,plain
3,67,24,17.00067625,19.90790546,5.520880014,103.2926407,kidneybeans,Hilly
53,55,55,33.32315744,91.25271223,6.709668804,234.496633,papaya,Hilly
117,81,53,29.50704598,78.20585613,5.507641778,98.12565829,banana,Hilly
83,23,55,26.89750174,83.89241484,6.463271076,43.97193745,watermelon,plain
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram,plain
91,7,52,25.07803672,83.46230461,6.405054243,56.39962921,watermelon,plain
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,pigeonpeas,plain
75,41,35,24.97042599,78.62697699,6.856833064,166.6415254,jute,Hilly
70,68,55,42.84609252,94.63548176,6.691202286,78.8099639,papaya,Hilly
87,23,28,26.22367404,62.26594559,6.979590627,193.7461968,coffee,Hilly
117,32,34,26.2724184,52.12739421,6.758792552,127.1752928,coffee,plain
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,mungbean,plain
84,40,43,25.01157559,88.3313023,7.228268228,169.4168014,jute,plain
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,mungbean,Hilly
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana,plain
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,Hilly
10,18,35,27.79797651,99.64573002,6.381975465,181.6942283,coconut,plain
1,30,29,28.33333307,51.39586505,6.434197756,91.67241761,mango,Hilly
120,20,34,23.56960509,50.56339727,6.906124587,130.3797119,coffee,Hilly
91,12,46,24.64458469,85.49938185,6.343942518,48.31219031,watermelon,Hilly
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,blackgram,Hilly
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea,plain
15,28,32,28.84270971,99.64328526,6.218571874,224.4016682,coconut,plain
25,71,24,28.49538735,60.44848407,7.187721818,74.91559514,blackgram,Hilly
22,70,19,18.23775702,21.07643273,5.515615023,69.44951585,kidneybeans,plain
5,16,31,35.96054636,48.69677802,4.555688532,98.00644238,mango,plain
20,7,45,18.90592319,89.24126808,6.077886012,112.4750941,pomegranate,plain
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,plain
7,73,25,27.52185591,63.13215259,7.28805662,45.20841071,lentil,Hilly
13,61,22,19.44084326,63.27771461,7.728832424,46.83130119,lentil,Hilly
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram,Hilly
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana,plain
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize,Hilly
100,17,48,29.72791119,94.29753295,6.367800632,26.52364146,muskmelon,plain
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,blackgram,Hilly
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans,Hilly
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,chickpea,plain
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana,Hilly
15,11,38,23.12808226,92.68328358,6.630646083,109.3930157,pomegranate,Hilly
29,142,203,29.67229086,83.71498986,5.891195653,66.48490371,grapes,Hilly
18,19,27,27.75518664,52.34605806,4.772385986,94.11213345,mango,plain
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram,Hilly
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana,Hilly
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,Hilly
80,43,43,23.78756036,74.36794079,6.014572075,172.6442654,jute,Hilly
29,139,205,23.64142354,93.74461474,6.155939453,116.6912176,apple,Hilly
79,45,43,25.71901283,79.15532398,7.171054239,187.1735424,jute,plain
14,59,22,23.82723528,67.89815262,6.76660668,46.90725077,lentil,Hilly
108,23,51,26.84366082,83.85039964,6.106500787,40.228644,watermelon,Hilly
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,mungbean,plain
131,56,20,22.00817088,81.83896111,7.762647875,92.23645249,cotton,plain
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,Hilly
81,30,48,28.52379742,92.09688432,6.041027474,29.86681385,muskmelon,plain
28,130,196,22.13450646,94.67695747,6.062356467,112.9203223,apple,plain
22,44,24,24.30935081,56.32938343,6.030447288,58.99536268,mothbeans,plain
87,6,45,29.82729394,90.79007335,6.40077205,22.84203589,muskmelon,plain
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,blackgram,Hilly
29,34,26,33.88004781,54.39416048,6.273953676,89.29147581,mango,Hilly
115,18,53,29.17052093,94.19790371,6.012480351,22.06994464,muskmelon,Hilly
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans,Hilly
93,22,48,29.12533739,91.52291141,6.776987974,21.90440445,muskmelon,Hilly
27,56,22,19.91853092,20.70099804,5.833010958,108.6434544,kidneybeans,plain
20,72,15,36.00415838,56.01334416,7.313517308,134.8596466,pigeonpeas,Hilly
37,6,13,26.03097313,91.50819306,7.511755068,101.2847738,orange,plain
101,92,45,28.22776705,80.6430384,5.758054257,98.00403016,banana,Hilly
62,49,37,24.21744605,82.85284045,7.479248124,166.1365886,jute,Hilly
22,23,44,20.13037175,89.31505137,6.143874691,107.3416913,pomegranate,Hilly
37,77,17,36.20970524,31.94550613,5.617122801,191.0658531,pigeonpeas,Hilly
39,42,20,29.3499706,61.25353851,8.055908858,40.82840673,mothbeans,Hilly
72,41,36,26.50838667,86.84264005,6.065898283,152.9801697,jute,Hilly
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize,plain
10,59,22,28.60901145,86.99495766,7.155685016,36.94616965,mungbean,plain
24,70,21,19.14729038,45.3733757,5.517208078,132.7748215,pigeonpeas,plain
81,34,30,25.17787724,62.26244581,6.647765997,135.0119649,coffee,Hilly
31,136,197,31.11047251,83.34010951,5.653776058,71.43001582,grapes,Hilly
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,Hilly
4,13,6,15.63211033,94.25966183,7.561143224,101.4705704,orange,plain
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,watermelon,plain
29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,apple,plain
6,128,200,25.96308415,82.57813624,5.838748311,70.31782647,grapes,Hilly
68,62,50,33.20258348,92.76437927,6.977700268,197.5282582,papaya,plain
111,79,53,28.31193338,75.77363772,6.165001278,119.695765,banana,Hilly
26,32,32,30.91471455,49.92963856,6.810186079,90.14047759,mango,Hilly
16,15,42,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate,Hilly
26,63,17,29.87854588,65.73085206,6.950300686,44.95654782,lentil,Hilly
0,55,25,28.17489437,43.6672299,4.524171562,45.78172762,mothbeans,plain
27,24,41,24.32770134,90.88292835,6.610251186,110.4606459,pomegranate,Hilly
18,9,40,19.44623085,89.02127045,5.627186257,106.1606833,pomegranate,Hilly
90,15,52,27.04927452,91.3821731,6.448061578,23.65747461,muskmelon,Hilly
20,139,202,23.50201428,92.21083961,5.66999105,107.9868949,apple,Hilly
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,mothbeans,plain
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,pigeonpeas,plain
38,21,35,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate,Hilly
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,plain
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,chickpea,plain
97,29,27,27.74576987,54.36976075,7.205078785,139.8619431,coffee,plain
113,6,52,27.76317235,90.35567642,6.740983646,25.21609113,muskmelon,plain
106,49,24,23.03887865,76.47039772,6.983395573,90.64770699,cotton,plain
1,67,21,27.52135365,60.53657684,6.551577598,48.06491307,lentil,plain
32,11,31,29.51611558,92.56492864,6.461225827,131.2116167,coconut,Hilly
16,73,19,18.41645629,34.80541039,4.684079249,163.2747473,pigeonpeas,Hilly
23,23,27,34.72413192,51.4271781,5.161148592,97.31258083,mango,plain
140,38,15,24.1472953,75.88298598,6.021439523,69.91563467,cotton,Hilly
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana,Hilly
31,25,12,18.05142392,90.03969587,7.016482298,111.7793889,orange,Hilly
13,23,6,23.96147583,90.26408017,7.365338111,102.6958703,orange,plain
113,41,20,25.0017188,80.53965818,7.256877571,96.32600992,cotton,plain
115,31,30,24.22984659,67.37768353,6.840927967,122.4073418,coffee,Hilly
30,137,200,22.91430043,90.70475565,5.603413172,118.6044645,apple,plain
0,55,25,28.17489437,43.6672299,4.524171562,45.78172762,mothbeans,Hilly
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,Hilly
38,68,54,29.33710543,90.81781439,6.739170045,202.0572747,papaya,Hilly
20,122,204,11.7976469,80.86325389,6.487369687,65.06962486,grapes,plain
36,140,198,23.34386401,91.47684705,6.28188384,104.4267991,apple,Hilly
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,mothbeans,Hilly
37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,lentil,plain
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,grapes,plain
105,60,23,23.53371386,77.21705554,6.207652157,87.54004943,cotton,plain
60,58,37,26.13871511,79.1188943,6.067302109,171.4892533,jute,plain
5,25,6,30.72119881,94.01331956,6.011302181,106.8118019,orange,plain
15,123,204,22.52709326,92.54780429,6.365972688,115.3830068,apple,plain
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,Hilly
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,pigeonpeas,plain
111,39,22,22.60361557,80.3509046,6.135025006,88.57395505,cotton,plain
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,Hilly
82,23,49,26.81383586,87.21986949,6.873283991,51.70497792,watermelon,Hilly
100,18,52,26.20234499,80.38266489,6.87606733,56.47941847,watermelon,Hilly
24,21,42,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate,plain
111,5,47,28.03306461,91.47355778,6.274452811,21.17924769,muskmelon,plain
26,11,11,13.70319166,90.95589386,7.609348255,106.2944879,orange,Hilly
80,15,28,23.11438731,68.00096043,6.703270635,161.8944624,coffee,plain
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea,Hilly
40,144,196,22.71750705,92.25479855,5.987262638,107.0289866,apple,plain
90,86,55,27.96236771,84.15403614,5.644486582,97.55986676,banana,Hilly
33,12,15,30.25578031,92.03272799,6.052318465,116.7173125,orange,Hilly
13,67,18,30.5753044,34.75591197,5.384762927,177.5764304,pigeonpeas,Hilly
82,35,44,26.96656378,78.21047693,6.239011,169.8391177,jute,plain
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,mungbean,Hilly
40,22,29,27.55821802,99.98187601,5.735364307,174.6256481,coconut,plain
91,38,36,26.5232969,77.17331847,7.287318723,157.8548562,jute,plain
84,38,43,26.57421679,73.81994896,7.26158085,159.3223075,jute,Hilly
111,50,15,25.16820129,80.30351815,7.884550475,84.62419032,cotton,Hilly
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,mothbeans,Hilly
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea,plain
52,51,53,38.38231475,93.10378595,6.985804083,210.2735346,papaya,Hilly
21,23,42,19.54128063,90.29751796,6.902751061,104.3739878,pomegranate,Hilly
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,watermelon,Hilly
10,78,18,18.54141834,62.70637578,6.296976913,44.07819743,lentil,plain
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,Hilly
32,14,37,22.73031253,88.48567856,6.825256236,104.6843243,pomegranate,plain
11,44,17,26.34043268,55.59160391,8.016210782,35.1051197,mothbeans,Hilly
95,12,51,25.76484262,84.1726996,6.681606702,44.22066914,watermelon,Hilly
88,21,27,24.43011925,66.02411187,7.231166546,181.6368274,coffee,Hilly
32,68,19,24.62835037,18.18325169,5.514234138,149.7441028,kidneybeans,plain
88,29,51,24.71885473,88.94568335,6.095689937,48.45978627,watermelon,plain
45,58,49,30.10773379,90.34546355,6.827812549,75.24521981,papaya,Hilly
86,31,35,27.01207284,60.76645256,6.485761419,191.4508931,coffee,plain
36,80,21,33.64769646,48.41490082,7.066087261,100.4673278,pigeonpeas,plain
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,plain
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas,plain
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate,plain
28,136,200,23.06204373,92.39544055,6.245858905,114.7399101,apple,Hilly
31,6,26,29.12859129,91.30924833,5.741367375,157.2388553,coconut,plain
7,56,23,26.33908791,40.00933429,5.545219232,55.50429227,mothbeans,Hilly
22,138,195,27.83487131,83.51444973,6.208196881,73.02882766,grapes,plain
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans,plain
86,40,39,25.72100868,88.16513579,6.207459637,175.6086697,jute,plain
29,122,196,41.94865736,81.15595212,5.638328481,73.06862952,grapes,Hilly
26,9,32,25.9490364,94.73860514,6.470465614,144.1571109,coconut,plain
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,mungbean,plain
8,7,10,28.2620488,91.98317355,6.929216014,105.2132259,orange,plain
1,35,34,30.79375683,46.69536813,6.27339822,92.21318555,mango,Hilly
4,80,16,29.19585548,68.01965728,7.441976825,44.93261911,lentil,plain
34,73,15,20.97195263,63.83179889,7.630424083,53.10207889,lentil,plain
33,29,34,31.40948821,49.21729127,6.832979509,92.99739415,mango,plain
87,38,29,25.20406808,57.88370456,6.652642579,156.1457255,coffee,plain
42,59,55,40.10207731,94.35110201,6.979102243,149.1199989,papaya,Hilly
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,chickpea,plain
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,chickpea,Hilly
26,67,24,36.97794384,37.73992903,5.642813116,161.4812963,pigeonpeas,Hilly
9,139,199,23.25230817,94.54128292,5.867420996,105.3558408,apple,Hilly
90,39,43,24.44743944,82.286484,6.7693455,190.9684885,jute,plain
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,mungbean,Hilly
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes,plain
20,50,22,30.99694676,46.42693735,9.406887533,38.31597852,mothbeans,Hilly
126,46,25,24.43847399,81.69801729,6.757457943,60.79645852,cotton,Hilly
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean,Hilly
99,12,52,28.69708334,94.30759855,6.002927293,22.21807088,muskmelon,Hilly
32,79,22,27.60195453,63.46170674,5.91645379,54.37814199,lentil,plain
12,142,203,31.3115978,82.56407013,5.972850838,65.01095312,grapes,plain
16,35,31,32.27652024,50.19368841,5.316875978,95.99487068,mango,plain
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,banana,Hilly
42,59,55,40.10207731,94.35110201,6.979102243,149.1199989,papaya,plain
35,135,199,21.77466746,80.54942557,6.400719746,69.39630398,grapes,Hilly
1,76,17,28.43430726,52.10010827,6.012719118,147.0414824,pigeonpeas,plain
17,43,22,30.06142622,45.90067655,5.498340808,41.0550915,mothbeans,plain
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,plain
37,24,13,19.14381903,90.71037456,7.8546243,108.0230792,orange,plain
10,125,196,22.31253665,90.03577124,5.730557448,113.0688155,apple,plain
122,48,16,24.65425757,75.6350708,6.307585854,61.82980133,cotton,plain
109,91,53,29.66727337,83.51014178,6.010095853,110.2511102,banana,Hilly
26,68,24,28.04849594,64.07691942,7.504930973,37.15824966,lentil,Hilly
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean,plain
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,mango,Hilly
4,19,43,18.07132963,93.14554876,5.779427402,106.3602023,pomegranate,plain
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,Hilly
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,blackgram,Hilly
39,76,76,19.96837462,15.57324389,8.135900726,69.15759062,chickpea,plain
44,63,15,26.42333018,64.51136845,7.338929556,63.46546487,blackgram,Hilly
6,30,40,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate,plain
28,130,196,22.13450646,94.67695747,6.062356467,112.9203223,apple,Hilly
27,71,24,31.46417866,48.17631461,7.064973419,165.405354,pigeonpeas,Hilly
40,11,44,24.45840036,86.10874614,6.322396027,111.3779693,pomegranate,plain
40,61,22,20.94981756,65.8108757,7.002216044,44.23913012,lentil,Hilly
39,132,196,35.83089092,83.32560104,5.778594403,73.67984885,grapes,plain
14,23,25,26.18552389,96.96637916,5.612122797,135.4186222,coconut,Hilly
34,65,48,41.41968393,90.03863107,6.665024508,199.3096432,papaya,Hilly
8,58,17,28.75273118,69.15640149,7.286049978,35.15426171,lentil,plain
30,143,199,23.76881552,90.59810302,5.7983508,102.2648546,apple,Hilly
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,Hilly
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram,Hilly
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram,plain
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,Hilly
60,46,53,24.48620746,92.98254537,6.761953186,183.49095,papaya,plain
40,64,47,32.50037548,93.47888842,6.893509446,71.73759526,papaya,Hilly
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram,plain
26,67,24,36.97794384,37.73992903,5.642813116,161.4812963,pigeonpeas,plain
32,141,203,21.25941052,92.84416234,5.821347769,109.0658471,apple,plain
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana,plain
12,67,23,25.62896213,63.14909763,6.585020303,45.49683991,lentil,plain
94,5,55,28.5854649,91.89216849,6.085682344,26.88372572,muskmelon,Hilly
20,68,17,30.11873003,60.11680815,6.578714843,71.72980375,blackgram,plain
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram,plain
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,mango,plain
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,mungbean,plain
34,15,34,27.05826457,91.10510371,5.677282678,224.7006953,coconut,plain
80,52,39,26.41915161,76.85691248,7.165696848,197.2101782,jute,Hilly
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram,Hilly
102,24,54,27.72338349,90.93897939,6.698468621,22.81863447,muskmelon,Hilly
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,Hilly
36,67,25,35.95176642,36.52780776,6.418062652,136.0456753,pigeonpeas,Hilly
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,Hilly
45,57,47,23.16855863,90.78821158,6.656458831,161.6892093,papaya,plain
116,36,25,27.57847581,58.52534263,6.172090205,156.6810374,coffee,Hilly
3,58,21,25.36140526,46.82652785,9.160691747,55.60523179,mothbeans,Hilly
80,18,31,24.02952505,58.84880599,7.303033217,134.6803969,coffee,Hilly
4,19,43,18.07132963,93.14554876,5.779427402,106.3602023,pomegranate,Hilly
19,24,15,20.48954522,93.72485075,7.137136973,111.8391951,orange,plain
36,128,204,25.23542319,80.68700527,5.695792761,67.03840888,grapes,plain
2,21,44,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate,plain
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,mungbean,plain
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,plain
127,53,24,22.21506982,76.17851932,6.127939628,70.40557612,cotton,Hilly
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,Hilly
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,Hilly
25,22,25,33.56150184,45.53556603,5.977413803,95.70525913,mango,Hilly
89,57,43,26.91515043,73.19897535,6.998787171,177.2233048,jute,plain
40,9,41,24.37766782,85.4017118,5.78270695,106.128338,pomegranate,plain
33,47,17,24.86803974,48.27531965,8.621514073,63.9187654,mothbeans,Hilly
49,61,45,32.76795887,94.57377401,6.764213299,240.4795923,papaya,Hilly
3,9,35,26.91641934,99.84671638,6.318552973,225.6323656,coconut,Hilly
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea,Hilly
85,27,45,26.0713757,88.7285657,6.467095849,57.79652846,watermelon,plain
100,46,18,24.18586246,76.04203958,6.431689506,69.08056728,cotton,plain
10,71,18,19.54284889,66.34777265,6.151029296,173.1106982,pigeonpeas,plain
14,29,32,35.63627319,48.97047762,6.942520105,97.51952041,mango,plain
24,30,11,32.39523995,94.51768464,6.601395755,113.25373,orange,Hilly
11,36,31,27.92063282,51.77965917,6.47544932,100.2585673,mango,plain
9,59,25,30.39321309,60.16299493,7.699200949,35.37493212,mothbeans,Hilly
31,68,45,42.92325255,90.07600528,6.938313356,196.2408242,papaya,Hilly
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram,Hilly
100,41,22,22.4204752,84.55794703,7.318802162,93.46595573,cotton,plain
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,blackgram,Hilly
81,18,50,26.80750629,88.22874955,6.429788073,58.79889057,watermelon,Hilly
28,70,21,25.39038396,60.4989659,7.437373666,39.18374505,lentil,Hilly
40,18,43,19.38603815,86.79058496,5.767372539,109.9130984,pomegranate,plain
67,68,49,35.26824831,92.38282957,6.821774589,149.8488208,papaya,Hilly
9,57,24,29.89232778,89.71503316,7.165121109,42.99498978,mungbean,plain
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram,Hilly
89,9,47,29.47156259,90.77069618,6.668382766,28.75226067,muskmelon,plain
23,75,17,24.87425505,64.00213929,7.198076286,48.28137482,lentil,Hilly
6,123,203,12.7567962,81.62497448,6.130310493,66.77844567,grapes,Hilly
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,plain
82,18,48,29.09588297,94.16748386,6.159050816,26.70581328,muskmelon,plain
110,22,47,29.03157242,91.82172592,6.243673725,24.93861254,muskmelon,Hilly
119,19,55,25.18780042,83.44621709,6.818261383,46.87420883,watermelon,Hilly
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana,plain
0,69,21,25.86928193,61.88321072,7.072923306,36.68284038,lentil,plain
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,kidneybeans,plain
13,17,45,21.25433607,92.65058936,7.159520979,106.2784673,pomegranate,Hilly
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,blackgram,plain
39,65,53,35.33294932,92.11508608,6.560743093,235.6133585,papaya,plain
28,23,28,30.01821337,50.0983181,5.676032581,96.08745082,mango,Hilly
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea,Hilly
